,Year,Refugees Granted Asylum,Annual % Change
0,1990,193000,0.0
1,1991,174756,-9.45
2,1992,156512,-10.44
3,1993,166269,6.23
4,1994,195288,17.45
5,1995,155245,-20.5
6,1996,151329,-2.52
7,1997,146558,-3.15
8,1998,140215,-4.33
9,1999,129722,-7.48
10,2000,132508,2.15
11,2001,131601,-0.68
12,2002,132182,0.44
13,2003,130838,-1.02
14,2004,139852,6.89
15,2005,137316,-1.81
16,2006,145996,6.32
17,2007,151789,3.97
18,2008,171206,12.79
19,2009,196364,14.69
20,2010,200687,2.2
21,2011,210207,4.74
22,2012,217865,3.64
23,2013,232487,6.71
24,2014,252264,8.51
25,2015,273126,8.27
26,2016,304546,11.5
27,2017,337143,10.7
28,2018,368352,9.26
29,2019,407923,10.74
