Rank,COUNTRY,SCORE
1, Afghanistan,9.603
2, Iraq,9.241
3, Nigeria,8.597000000000001
4, Syria,8.006
5, Pakistan,7.888999999999999
6, Somalia,7.8
7, India,7.518
8, Yemen,7.2589999999999995
9, Philippines,7.1370000000000005
10,Democratic Republic  jof the Congo,7.039
11, Egypt,6.794
12, Libya,6.766
13, Mali,6.653
14,Central African  jRepublic,6.622000000000001
15, Cameroon,6.62
16, Turkey,6.5329999999999995
17, South Sudan,6.316
18, Thailand,6.029
19, Colombia,5.912000000000001
20, Sudan,5.807
21, Kenya,5.756
22,United States of  jAmerica,5.691
23, Niger,5.596
24, Ukraine,5.547000000000001
25, Mozambique,5.542000000000001
26, Myanmar,5.5120000000000005
27, Burkina Faso,5.417999999999999
28,United Kingdom,5.405
29,Ethiopia,5.345
30,Saudi Arabia,5.2379999999999995
31,Bangladesh,5.207999999999999
32,Palestine,5.1770000000000005
33,Burundi,5.102
34,Nepal,5.093
35,Indonesia,5.07
36,France,5.008
37,Russia,4.9
38,Chad,4.762
39,Iran,4.717
40,Israel,4.525
41,South Africa,4.511
42,China,4.465
43,Lebanon,4.395
44,Germany,4.254
45,Greece,4.167
46,Chile,4.123
47,Venezuela,4.101
48,Mexico,4.08
49,Uganda,3.957
50,Tajikistan,3.947
51,Tunisia,3.938
52,Angola,3.784
53,Belgium,3.636
54,Canada,3.591
55,Sri Lanka,3.569
56, Sweden,3.45
57, Algeria,3.409
58, Bolivia,3.387
59, Spain,3.3539999999999996
60, Tanzania,3.272
61, Bahrain,3.201
62, Paraguay,3.1189999999999998
63, Italy,3.109
64, Jordan,3.091
65, Nicaragua,2.952
66, Rwanda,2.948
67, Peru,2.84
68, Zimbabwe,2.8339999999999996
69, Ireland,2.6919999999999997
70,Republic of the  jCongo,2.687
71, Australia,2.645
72, Cote d' Ivoire,2.5980000000000003
73, Brazil,2.53
74, Malaysia,2.495
75, Kuwait,2.487
76, Ecuador,2.455
77, Netherlands,2.347
78, Japan,2.291
79, Kosovo,2.255
80, Haiti,2.18
81, Finland,2.026
82, Madagascar,1.9569999999999999
